professor_name,query,response,status
Alexandra Boldyreva,tell me about Alexandra Boldyreva and their research areas,"Alexandra Boldyreva's primary research focuses on advancing cryptography and information security, covering both foundational theory and practical applications. Her research areas include:

*   Applied Cryptography
*   Public-Key Cryptography
*   Symmetric Encryption
*   Digital Signatures
*   Cryptographic Protocols
*   Network Security
*   Database Security
*   Privacy-Preserving Technologies
*   Security Proofs for cryptographic schemes
*   Information Theory relevant to security",SUCCESS
Alexandros Daglis,tell me about Alexandros Daglis and their research areas,"Alexandros Daglis is an Associate Professor of Computer Science at the Georgia Institute of Technology. His primary research focuses on rack-scale computing and network-compute integration, with the goal of optimizing performance for communication-intensive services with strict latency requirements in datacenter environments.

His research areas include:
*   Computer Architecture
*   Datacenter Systems
*   Memory Systems
*   Computer Networks
*   Distributed Systems
*   High-Performance Computing
*   Systems Software
*   Parallel Computing
*   Hardware/Software Co-design
*   Edge Computing
*   Optimizing tail latency in datacenters
*   Near-memory processing architectures
*   Persistent memory systems
*   CXL-centric memory solutions for scalable servers
*   Leveraging SmartNICs for efficient Remote Procedure Calls (RPCs)
*   Error-resilient computing techniques",SUCCESS
Alexey Tumanov,tell me about Alexey Tumanov and their research areas,"Alexey Tumanov specializes in:
*   Distributed systems support for soft real-time Machine Learning (SRTML)
*   Large Foundation Model inference and reasoning support
*   Resource management for distributed ML frameworks and applications
*   Systems for ML
*   Soft real-time ML
*   LLM inference
*   Distributed Systems
*   Cloud Computing
*   Machine Learning Systems
*   Large Language Model Inference
*   Real-time Systems
*   Resource Management
*   Cluster Scheduling
*   Performance Optimization
*   Hardware-Software Co-design
*   Serverless Computing",SUCCESS
Amanda Meng,tell me about Amanda Meng and their research areas,"Amanda Meng, a Research Faculty member in the School of Computer Science at Georgia Institute of Technology, focuses her primary research on the intersections of democracy, technology, data, and activism, often using a social science perspective. Her work also explores caring democracy through technology and contributes to the Internet Outage Detection and Analysis project at Georgia Tech.

Her specialized research areas include:
*   **Data activism**
*   **Ethic of care**
*   **Critical data literacy**
*   **Critical Data Studies**
*   **Science and Technology Studies (STS)**
*   **Human-Computer Interaction (HCI)**
*   **Digital Democracy**
*   **Data Ethics**
*   **Social Computing**
*   **Community Organizing**
*   **Participatory Design**
*   **Information Ethics**

She frequently employs qualitative research methods in her studies, which often investigate how social movements use open government data for advocacy and how citizen-collected data projects can foster community engagement and justice.",SUCCESS
Amy Bruckman,tell me about Amy Bruckman and their research areas,"Amy Bruckman is a Regents' Professor and Senior Associate Chair in the School of Interactive Computing at the Georgia Institute of Technology. Her research primarily focuses on social computing, with a strong emphasis on online collaboration, understanding across differences, and content moderation.

Her research areas include:
*   Social Computing
*   Collaborative Computing
*   Human-Computer Interaction (HCI)
*   Computer-Mediated Communication
*   Online Communities
*   Collaborative Systems
*   Digital Ethics
*   Information Science
*   Educational Technology
*   Digital Sociology
*   Qualitative Research Methods
*   Learning Sciences

Her work often explores how the design features of online environments influence human behavior and facilitate collaborative knowledge construction. She has made foundational contributions to internet research ethics, developing ethical guidelines and studying participant reactions to online research. Additionally, her research has examined large-scale cooperative systems like Wikipedia, focusing on participation, governance, decentralization, and content moderation on platforms such as Reddit and Twitter. She also pioneered early virtual communities and constructionist learning environments like MediaMOO and MOOSE Crossing.",SUCCESS
Andrea G. Parker,tell me about Andrea G. Parker and their research areas,"Andrea G. Parker is an Associate Professor in the School of Interactive Computing at the Georgia Institute of Technology, where she founded and directs the Wellness Technology Research Lab. Her primary research focuses on designing, building, and evaluating software tools to manage health and wellness. Her interdisciplinary work addresses health equity by examining racial, ethnic, and economic health disparities and the social context of health management. She also holds adjunct associate professor positions at the Rollins School of Public Health at Emory University and the Morehouse School of Medicine.

Dr. Parker specializes in the following research areas:
*   Human-Computer Interaction (HCI)
*   Digital Health
*   Health Equity
*   Health Disparities
*   Social Computing
*   Health Informatics
*   HCI for Social Good
*   Participatory Design
*   Crisis Informatics
*   Health Promotion Technology

A significant aspect of her research involves taking an ecological approach to technology design, conducting in-depth fieldwork to understand how various factors influence wellbeing and how technology can help communities overcome health barriers. Her current projects include equity-focused research in Black women's maternal and mental health, youth civic engagement, COVID health information practices and visualization, and faith-based health interventions.",SUCCESS
Animesh Chhotaray,tell me about Animesh Chhotaray and their research areas,"Animesh Chhotaray is a Research Scientist I in the School of Cybersecurity and Privacy within the College of Computing at the Georgia Institute of Technology.

His primary research focuses on bolstering supply-chain security for integrated circuits and additive manufacturing (3D printing), as well as enhancing the security of cyber-physical systems. His work also involves discovering cybersecurity vulnerabilities, analyzing their impact through large-scale studies, developing formally guaranteed defenses, and creating practical solutions for users to understand their systems' security.

Dr. Chhotaray specializes in a diverse array of cybersecurity disciplines, including:
*   Cryptography
*   Hardware Security
*   Cyber-Physical Systems Security
*   Applied Cryptography
*   Network Security
*   Reverse Engineering
*   Intellectual Property Protection
*   Machine Learning Security
*   Embedded Systems Security
*   Digital Forensics
*   Supply-chain security for additive manufacturing (3D printing)
*   Maritime Cybersecurity

He often incorporates user studies and machine learning techniques to address complex security challenges in his research.",SUCCESS
Animesh Garg,tell me about Animesh Garg and their research areas,"Animesh Garg is a Stephen Fleming Early Career Professor in the School of Interactive Computing at the Georgia Institute of Technology, an Assistant Professor of Computer Science at the University of Toronto, a Faculty Affiliate at the Vector Institute, and a Senior Researcher at Nvidia Research. He leads the People, AI, and Robotics (PAIR) research group.

His primary research vision is to develop algorithmic foundations for generalizable autonomy, enabling robots to acquire skills at both cognitive and dexterous levels, and to interact seamlessly with humans in novel environments. His work emphasizes structured inductive biases and causality to achieve general-purpose embodied intelligence that learns from imprecise information.

His research areas include:
*   Robotics
*   Machine Learning
*   Reinforcement Learning
*   Computer Vision
*   Robotic Manipulation
*   Robot Learning
*   Imitation Learning
*   Motion Planning
*   Control Theory
*   Artificial Intelligence
*   Development of multimodal representations for robust human-robot interaction.
*   Generalizable autonomy, focusing on robots adapting to diverse tasks and environments by learning from data-driven causal discovery and transferring knowledge to real-world applications.",SUCCESS
Annie I. Antón,tell me about Annie I. Antón and their research areas,"Dr. Annie I. Antón's research areas are at the intersection of computing, law, and policy. Her expertise includes:

*   **Software Engineering:** With a strong focus on Requirements Engineering, encompassing goal-based and inquiry-based analysis, and scenario management.
*   **Privacy Engineering and Security Engineering:** Specializing in the specification and analysis of privacy policies, user perceptions of privacy, and secure system design.
*   **Regulatory Compliance and Legal Informatics:** This involves extracting rights and obligations from complex legal texts to ensure software system requirements align with legal mandates.
*   **Human-Computer Interaction:** Specifically related to user privacy values.
*   **Information Policy.**
*   **Natural Language Processing:** Leveraged for automating the analysis of policy documents.",SUCCESS
Anqi Wu,tell me about Anqi Wu and their research areas,"Dr. Anqi Wu is an Assistant Professor in the School of Computational Science and Engineering (CSE) within the College of Computing at the Georgia Institute of Technology. She directs the BRAin INtelligence and Machine Learning (BRAINML) Laboratory. She is also affiliated with the Machine Learning Center, Neuro @ GT, Bioengineering, and the Institute for Bioengineering and Bioscience (IBB) at Georgia Tech.

Her primary research focuses on developing scientifically-motivated Bayesian statistical models and probabilistic modeling approaches for neural and behavior analyses, along with creating scalable and efficient inference algorithms to fit these models.

Dr. Wu specializes in a broad range of research areas, including:
*   **Machine Learning**
*   **Computational Neuroscience**
*   **Probabilistic Modeling for Neural Latent Discovery**: This involves using deep generative models, variational autoencoders, Gaussian processes, and Bayesian neural networks to extract interpretable latent representations from neural populations.
*   **Behavior Analysis and Understanding**: Her work in this area includes 3D full-body kinematic model estimation, hierarchical spatial and temporal models for animal behavior syllables, and studying intrinsic motives and reward representations through (inverse) reinforcement learning.
*   **Efficient Inference Approaches** for complex models.
*   Applications in **Computer Vision** and **Robotics**, such as fMRI decoding and neural sensory encoding.

Her notable contributions include developing innovative methods for discovering low-dimensional latent structures in neural data, advancing the practical application of Bayesian Neural Networks (BNNs) with deterministic variational inference methods, and improving animal pose tracking through semi-supervised deep graphical models.",SUCCESS
"Ashok K. Goel, Ashok Goel","tell me about Ashok K. Goel, Ashok Goel and their research areas","Ashok K. Goel is a distinguished Professor of Computer Science and Human-Centered Computing in the School of Interactive Computing at the Georgia Institute of Technology. He serves as the Chief Scientist with Georgia Tech's Center for 21st Century Universities and is the Executive Director of the National Science Foundation's AI Institute for Adult Learning and Online Education (AI-ALOE).

His primary research focuses on cognitive systems at the intersection of Artificial Intelligence and Cognitive Science, with a strong emphasis on computational design, creativity, and the transformative role of AI in education.

**Research Areas:**
Dr. Goel specializes in:
*   Computational Design
*   Artificial Intelligence
*   Cognitive Science
*   Educational Technology
*   Online Education
*   Design Reasoning
*   Case-Based Reasoning
*   Model-Based Reasoning
*   Knowledge Representation
*   Human-Computer Interaction
*   Biologically Inspired Design
*   Structure-Behavior-Function (SBF) models for understanding complex systems.

**Notable Works:**
*   Pioneered **Jill Watson**, the world's first virtual teaching assistant, which autonomously answers student questions in online discussion forums. This innovation has been deployed in numerous Georgia Tech courses, improving teaching presence and correlating positively with student performance.
*   Contributed significantly to **biologically inspired design**, developing theories and computational tools that leverage analogies from natural systems for engineering problems, fostering creativity and sustainable design.
*   Developed the **Structure-Behavior-Function (SBF) modeling language**, fundamental to AI for understanding and explaining complex engineered systems. This framework supports automated design, diagnosis, and interactive learning environments like **VERA (Virtual Experimentation Research Assistant)** for scientific knowledge acquisition.

**Academic Background and Honors:**
He earned his Ph.D. in Computer and Information Science from The Ohio State University in 1989 and joined Georgia Tech the same year. He has held leadership roles including Director of the Ph.D. Program in Human-Centered Computing and Co-Director of the Center for Biologically Inspired Design. He is an AAAI Fellow (2021) and a Cognitive Science Society Fellow (2022). His contributions have been recognized with awards such as the AAAI's Outstanding AI Educator Award (2019), the University System of Georgia Regent's Award for Scholarship of Teaching and Learning (2020), and the AAAI Distinguished Service Award (2024).",SUCCESS
Ashutosh Dhekne,tell me about Ashutosh Dhekne and their research areas,"Ashutosh Dhekne's primary research focuses on advancing Ultra-Wideband (UWB) localization and sensing technologies to create greener, more accurate, and pervasive indoor navigation and security systems. He also explores novel applications of wireless and IoT technologies in various fields. His work often centers on the concept of ""Tiny Data,"" emphasizing efficient data utilization in constrained environments.

His research areas include:
*   Ultra-Wideband (UWB) Technology
*   Wireless Localization and Tracking
*   Internet of Things (IoT)
*   Wireless Communication Protocols
*   Embedded Systems and Hardware
*   Sensor Networks
*   Mobile Computing
*   Robotics and Autonomous Systems
*   Sports Analytics and Technology
*   Edge Computing
*   Sustainability (with a recent emphasis on addressing global challenges through technological innovation)",SUCCESS
B. Aditya Prakash,tell me about B. Aditya Prakash and their research areas,"B. Aditya Prakash specializes in Data Science, Machine Learning, and Artificial Intelligence, with a focus on big-data challenges in large real-world networks and time-series. His research is applied to critical domains such as computational epidemiology, public health, urban computing, security, and the Web.

His specific research areas include:
*   Graph Theory
*   Network Science
*   Time Series Analysis
*   Epidemic Modeling and Computational Epidemiology
*   Information Diffusion and Forecasting
*   Graph neural networks
*   Deep learning for epidemic forecasting
*   Autoregressive diffusion models for graph generation
*   Physics-informed neural networks",SUCCESS
Betsy DiSalvo,tell me about Betsy DiSalvo and their research areas,"Betsy DiSalvo is an Associate Professor in the School of Interactive Computing at Georgia Tech and directs the Culture and Technology Lab (CAT Lab). Her primary research explores the impact of culture on technology use and production, focusing on computer science education and informal learning. She is dedicated to developing socio-technical environments and tools that broaden participation in computing for minoritized groups and communities.

Her research areas encompass:
*   Computer Science Education
*   Learning Sciences
*   Human-Computer Interaction (HCI)
*   Design Studies
*   Educational Technology
*   Cultural Studies
*   Sociotechnical Systems
*   Qualitative Research Methods
*   Identity Formation
*   Critical Race Theory
*   Motivation in learning
*   Design of educational games
*   Sustainable STEM education
*   Physical computing and maker spaces
*   Computing workforce development
*   Participatory design methods for diverse cultural and socioeconomic contexts, emphasizing informal learning and families in minority communities.",SUCCESS
Bo Dai,tell me about Bo Dai and their research areas,"Bo Dai's primary research interest is in Agent AI, focusing on generative models, representation learning, and reinforcement learning. The goal of this research is to create intelligent agents capable of sophisticated decision-making and world modeling.

His key areas of expertise include:
*   Machine Learning
*   Reinforcement Learning
*   Deep Learning
*   Generative Models
*   Representation Learning
*   Optimization
*   Structured Data Analysis
*   Probabilistic Graphical Models
*   Kernel Methods
*   Computer Vision

Additionally, his research delves into advanced topics such as data-driven algorithm design, policy optimization, and the theoretical underpinnings of offline reinforcement learning. He also works on developing principled and practical machine learning methods for structured data, specifically designing effective statistical models and efficient algorithms to handle complex, high-dimensional, and uncertain data.",SUCCESS
Bo Zhu,tell me about Bo Zhu and their research areas,"Bo Zhu's research areas primarily encompass Computer Graphics, Computational Physics, and Scientific Machine Learning. His expertise also includes Computational Fluid Dynamics, Topology Optimization, Continuum Mechanics, Numerical Analysis, Solid Mechanics, Mechanical Engineering, and Robotics.

His work focuses on developing geometric data structures and numerical algorithms to address computational challenges in various physical systems. He is particularly interested in simulating fluid dynamics, including interfacial dynamics, vortical structures, and topological evolution. Dr. Zhu also designs advanced numerical algorithms and leverages machine learning for complex physical simulations, spanning multi-scale material design, computational controller design for autonomous systems, and differentiable fluid environments.",SUCCESS
Bobbie Lynn Eicher,tell me about Bobbie Lynn Eicher and their research areas,"Bobbie Lynn Eicher is a Ph.D. Student in the School of Interactive Computing at the Georgia Institute of Technology. Her primary research focuses on the intersection of artificial intelligence, cognitive science, and online education.

Her research areas include:
*   Artificial Intelligence (AI) Ethics
*   Online Education
*   Educational Assessment and Evaluation
*   Cognitive Science and AI Interaction
*   Educational Technology
*   Human-Computer Interaction
*   Computational Thinking Education
*   Online Learning Pedagogy
*   Educational Data Mining
*   Artificial Intelligence in Education",SUCCESS
Brendan D. Saltaformaggio,tell me about Brendan D. Saltaformaggio and their research areas,"Brendan D. Saltaformaggio is an Associate Professor at the Georgia Institute of Technology, with joint appointments in the School of Cybersecurity and Privacy and the School of Electrical and Computer Engineering, and a courtesy appointment in the School of Computer Science. He directs the Cyber Forensics Innovation (CyFI) Laboratory.

His research areas encompass:
*   Cyber Forensics
*   Systems Security
*   Malware Analysis
*   Digital Forensics
*   Software Engineering
*   Computer Architecture
*   Network Security
*   Cloud Computing
*   Memory Forensics
*   Binary Analysis and Instrumentation
*   Security of mobile and IoT systems.

His laboratory's mission is dedicated to investigating advanced cyber crimes and analyzing and preventing next-generation malware attacks, particularly focusing on mobile and IoT environments, and the vetting of untrusted software.",SUCCESS
Brian Hrolenok,tell me about Brian Hrolenok and their research areas,"Brian Hrolenok is an Assistant Professor (Teaching) in the Department of Computer Science at George Mason University. His primary research focuses on the intersection of machine learning and multiagent systems, specifically the development of executable models for systems that exhibit complex collective behavior, ranging from social animals to autonomous robot teams.

His research areas include:
*   Machine Learning
*   Multiagent Systems
*   Computer Vision
*   Robotics
*   Behavioral Ecology
*   Animal Behavior Modeling
*   Simulation
*   Data Mining
*   Social Network Analysis
*   Collective Behavior

A key aspect of his work involves inferring social structures from observed data and modeling the stochastic nature of multiagent interactions.",SUCCESS
Brian Magerko,tell me about Brian Magerko and their research areas,"Brian Magerko, a Regents Professor of Digital Media at Georgia Tech, specializes in research at the intersection of human and machine cognition to create novel human-computer creative experiences. He integrates cognitive science, computer science, and computational media research to understand social collaboration and creativity between humans and artificial intelligence.

His primary research areas include:
*   Creativity and cognition
*   Computational media
*   Computer science education
*   Artificial Intelligence (AI)
*   Human-Computer Interaction (HCI)
*   Embodied interaction
*   Interactive storytelling
*   Game design
*   Educational technology
*   Human-robot interaction
*   The study of improvisational cognition and its computational modeling.

He also investigates how expression and meaning-making can motivate students to learn computing and how to quantify creative social interactions.",SUCCESS
Bruce N. Walker,tell me about Bruce N. Walker and their research areas,"Bruce N. Walker specializes in several research areas, primarily focusing on Sonification and Auditory Displays, where he investigates using sound to represent and analyze data for both sighted and visually impaired individuals. His work also extensively covers Human-Computer Interaction (HCI) in Non-Traditional Interfaces, including tactile, voice, and vibration interactions.

Furthermore, Dr. Walker delves into the psychological and social factors that influence technology adoption, particularly examining trust and risk perception in automated driving systems and the dynamics of human-AI-robot teaming. He also contributes significantly to Assistive Technology, designing accessible and inclusive interfaces for people with visual impairments. His Sonification Lab investigates HCI issues across various non-traditional interfaces, such as mobile devices, vehicle displays, and multimodal interfaces in educational and complex task environments.",SUCCESS
Calton Pu,tell me about Calton Pu and their research areas,"Calton Pu's research areas include Service Computing, Cloud Computing, Big Data Analytics, Data Management and Databases, Information Security, Computer Security and Privacy, Distributed Systems and Networks, Operating Systems and Systems Software, Cloud Computing and Virtualization, Artificial Intelligence and Machine Learning, Information Retrieval and Web Technologies, and Mobile and Multimedia Computing.

His primary research focuses on automated system management in cloud environments, addressing challenges related to information quality, big data in Internet of Things (IoT), and distributed computing. Current work also involves tackling the ""latency long tail"" problem in web-facing and microservices-based applications by identifying and mitigating ""millibottlenecks."" Recent projects highlight contributions to cloud performance optimization and dynamic analytics on changing big data, including efforts to detect and manage misinformation.",SUCCESS
Carl DiSalvo (he / him),tell me about Carl DiSalvo (he / him) and their research areas,"Carl DiSalvo specializes in the intricate relationship between design and democracy, focusing on how technology design can engage political discourse and foster collective action. His research areas include Design Studies, Human-Computer Interaction (HCI), and the Sociology of Technology.

Specifically, his expertise covers:
*   **Design Methodologies:** Participatory Design, Speculative Design, Critical Design, and Civic Technology, with a strong emphasis on qualitative research methods.
*   **Technological Applications & Implications:** Human-robot interaction, sustainability in HCI, and the ethical considerations of technology in urban environments, such as smart cities and the Internet of Things (IoT).
*   **Societal Contributions:** How design can support diverse economies, food systems, and environmental monitoring, often integrating art, craft, and activism to broaden the scope of design. He also investigates how communities utilize data for political aims and how these data practices shape new forms of civic engagement, challenging conventional computing notions to enhance participation.",SUCCESS
Carrie Bruce,tell me about Carrie Bruce and their research areas,"Dr. Carrie Bruce is a Principal Research Scientist within the College of Computing at the Georgia Institute of Technology, where she also serves as the Assistant Director and Research Manager for the Master of Science in Human-Computer Interaction (MS-HCI) program. Her primary research focuses on Human-Computer Interaction (HCI), accessibility, and inclusive design, specializing in how design impacts user abilities, participation, and performance across diverse populations.

Her expertise spans a wide range of research areas, including:
*   Human Computer Interaction (HCI)
*   UX research
*   Inclusive Design
*   Assistive Technology
*   Workplace Accommodations
*   Universal Design
*   Rehabilitation and Health Assessment
*   Communication Sciences and Disorders (specifically Augmentative and Alternative Communication)
*   Environmental Design and Assessment
*   Information Science and Technology (Data Corpus Development)
*   Sound Design and Sonification
*   Cognitive Science and Dementia Care

Notable works demonstrating her research contributions include:
*   Developing and evaluating the **Environment & Communication Assessment Toolkit (ECAT) for Dementia Care**, which helps assess environmental barriers and modify communication environments to improve communication skills for individuals with dementia.
*   Pioneering research in **aquarium sonification and auditory displays**, creating interactive soundscapes for accessible dynamic informal learning environments, particularly beneficial for visually impaired visitors and children.
*   Creating and analyzing the **Augmentative and Alternative Communication (AAC) and Non-AAC Workplace Corpus (ANAWC)**, a resource for studying linguistic patterns in the workplace discourse of AAC users to inform the design of more effective AAC devices.",SUCCESS
Cecilia Testart,tell me about Cecilia Testart and their research areas,"Cecilia Testart's research focuses on the intersection of Internet measurements, security, and policy. She utilizes data-driven approaches to enhance the security and reliability of the Internet, aiming to ensure its societal benefit.

Her specialized research areas include:
*   Computer networks
*   Network security
*   Internet measurements
*   Internet policy
*   Internet Routing Security
*   Network Protocol Analysis
*   Network Measurement and Monitoring
*   Cybersecurity Policy
*   Internet Governance
*   Cryptographic Security
*   Data Mining and Machine Learning for Security
*   Internet Architecture and Design
*   Network Resilience
*   Internet Traffic Analysis

Dr. Testart also leads the Internet and Society lab and is a member of the Internet Intelligence Lab.",SUCCESS
Chao Zhang,tell me about Chao Zhang and their research areas,"Dr. Chao Zhang, an Assistant Professor in the School of Computational Science and Engineering at the Georgia Institute of Technology, specializes in a broad range of research areas at the intersection of data science, machine learning, and artificial intelligence.

His primary research focuses on building advanced large language models (LLMs) and AI agents for complex task-solving and decision-making, emphasizing data efficiency, computation efficiency, and model robustness. He is also deeply invested in leveraging foundation models to advance AI for scientific discovery.

Dr. Zhang's specific research areas include:
*   Data-Centric AI
*   Trustworthy AI
*   Uncertainty Quantification, particularly within Large Language Models (LLMs) and AI agents
*   Spatiotemporal Modeling
*   Natural Language Processing (NLP)
*   Deep Learning
*   Recommender Systems
*   Computer Vision
*   Graph Neural Networks
*   Data Mining
*   Information Extraction
*   Weakly-supervised learning
*   Out-of-distribution generalization
*   Interpretable machine learning
*   Knowledge extraction and reasoning
*   Active learning
*   Data curation",SUCCESS
Christopher J. MacLellan,tell me about Christopher J. MacLellan and their research areas,"Christopher J. MacLellan is an Assistant Professor in the School of Interactive Computing at the Georgia Institute of Technology, where he leads the Teachable AI Lab (TAIL).

His core research aims to understand how humans teach and learn, and to engineer AI systems that can emulate human-like learning and teaching processes. This involves developing computational models of human learning to create scalable AI technologies like intelligent tutoring systems and medical decision support systems. He also investigates how data from human learning and decision-making can refine cognitive models and enhance computational learning systems.

Dr. MacLellan specializes in:
*   Cognitive Systems
*   Artificial Intelligence in Education
*   Human-AI Teaming
*   Concept Formation
*   Cognitive Modeling
*   Human-Computer Interaction
*   Educational Technology
*   Machine Learning
*   Computational Linguistics
*   Knowledge Representation and Reasoning
*   Educational Data Mining

A significant portion of his work focuses on developing computational models that learn interactively from examples and feedback, which directly influences the design and efficacy of intelligent tutoring systems. He also investigates interactive task learning and applies generative AI to streamline the authoring of intelligent tutor interfaces. His notable contributions include improving human-machine teaming, pioneering computational models of apprentice learning (such as the Apprentice Learner Architecture and SimStudent), and addressing challenges in medical AI, particularly in sparse data scenarios, to create diagnostic tools like those for pneumothorax detection.",SUCCESS
